key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05033-020301-2,2018.8,0.92,0.54,0.27,600,0.58,0.4,0.24,0.01,0.52,0.28,0.37,0.89,0.28,0.24,0.69,0.15,0.22,1982,0.31,0.17,0.08,0
05033-020301-3,2526.2,0.29,0.54,0.17,219,0.77,0,0.08,0,0.74,0.12,0.2,0.93,0.59,0.33,0.86,0.11,0.03,1958,0.46,0.38,0.05,0
05033-020302-1,271.9,5.46,0.49,0.13,547,0.49,0,0.21,0.03,0.23,0.25,0.64,0.87,0.42,0.34,0.76,0.03,0.22,1987,0.26,0.14,0.01,0
05033-020302-2,2265.8,0.88,0.49,0.6,382,0.33,0.4,0.19,0.13,0.53,0.2,0.47,0.83,0.57,0.1,0.83,0.05,0.12,1980,0.76,0.05,0.09,0
05033-020302-3,3019.5,0.36,0.63,0.26,317,0.79,0,0.11,0.03,0.78,0.31,0.59,0.96,0.49,0.38,0.83,0.09,0.11,1993,0.11,0,0.08,0
05033-020401-1,307,3.98,0.48,0.23,378,0.53,0,0.08,0,0.57,0.15,0.31,0.89,0.52,0.27,0.92,0.12,0.1,1986,0.46,0.48,0.05,0
05033-020401-2,287.6,5.24,0.44,0.05,404,0.34,0,0.11,0.02,0.39,0.17,0.47,0.9,0.47,0.19,0.73,0.06,0.12,1974,0.55,0,0.05,0
05033-020401-3,135.1,10.32,0.49,0.11,485,0.63,0,0.28,0.11,0.66,0.27,0.69,0.83,0.38,0.34,0.66,0.02,0.24,1989,0.25,0.59,0.06,0
05033-020401-4,44,32.46,0.5,0.07,499,0.52,0,0.12,0.02,0.6,0.25,0.27,0.96,0.48,0.22,0.77,0.15,0.05,1989,0.47,0,0.08,0
05033-020402-1,85,18.81,0.44,0.12,570,0.39,0,0.25,0.01,0.48,0.33,0.35,0.77,0.4,0.21,0.66,0.04,0.12,1975,0.51,0.27,0,0
